date,global_msl,time
2005-01-16,0.035073902,12:00:00
2005-02-15,0.03215863,00:00:00
2005-03-16,0.031492468,12:00:00
2005-04-16,0.029856766,00:00:00
2005-05-16,0.030993817,12:00:00
2005-06-16,0.030251725,00:00:00
2005-07-16,0.033055384,12:00:00
2005-08-16,0.033756383,12:00:00
2005-09-16,0.038295887,00:00:00
2005-10-16,0.042732064,12:00:00
2005-11-16,0.043642227,00:00:00
2005-12-16,0.04235966,12:00:00
2006-01-16,0.03652879,12:00:00
2006-02-15,0.03392102,00:00:00
2006-03-16,0.03159061,12:00:00
2006-04-16,0.032162234,00:00:00
2006-05-16,0.032357227,12:00:00
2006-06-16,0.034007374,00:00:00
2006-07-16,0.03452472,12:00:00
2006-08-16,0.037026357,12:00:00
2006-09-16,0.04302737,00:00:00
2006-10-16,0.045396667,12:00:00
2006-11-16,0.044077586,00:00:00
2006-12-16,0.041427188,12:00:00
2007-01-16,0.03824736,12:00:00
2007-02-15,0.032728262,00:00:00
2007-03-16,0.033141688,12:00:00
2007-04-16,0.0351419,00:00:00
2007-05-16,0.033758312,12:00:00
2007-06-16,0.031721514,00:00:00
2007-07-16,0.03346175,12:00:00
2007-08-16,0.034943286,12:00:00
2007-09-16,0.040623657,00:00:00
2007-10-16,0.04351497,12:00:00
2007-11-16,0.04525602,00:00:00
2007-12-16,0.043064117,12:00:00
2008-01-16,0.039556388,12:00:00
2008-02-15,0.03789443,12:00:00
2008-03-16,0.035962604,12:00:00
2008-04-16,0.035748,00:00:00
2008-05-16,0.038330086,12:00:00
2008-06-16,0.039794922,00:00:00
2008-07-16,0.039464083,12:00:00
2008-08-16,0.041117296,12:00:00
2008-09-16,0.045708347,00:00:00
2008-10-16,0.04830655,12:00:00
2008-11-16,0.04985236,00:00:00
2008-12-16,0.048768084,12:00:00
2009-01-16,0.044313513,12:00:00
2009-02-15,0.039580595,00:00:00
2009-03-16,0.039688088,12:00:00
2009-04-16,0.039218,00:00:00
2009-05-16,0.03919938,12:00:00
2009-06-16,0.03929474,00:00:00
2009-07-16,0.04078322,12:00:00
2009-08-16,0.044732947,12:00:00
2009-09-16,0.05128503,00:00:00
2009-10-16,0.054317173,12:00:00
2009-11-16,0.05419381,00:00:00
2009-12-16,0.051951308,12:00:00
2010-01-16,0.047314428,12:00:00
2010-02-15,0.04354997,00:00:00
